transition_id,map_seed,split,policy_source,action_name,current_position,next_position,outcome,image_path,target_text
train_seed0002_random_t002,2,train,random,Up,"[0, 0]","[0, 0]",wall,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_002.png,"<prediction>Position: (0, 0). Outcome: wall</prediction>"
train_seed0002_random_t003,2,train,random,Down,"[0, 0]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_003.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0002_random_t004,2,train,random,Left,"[1, 0]","[1, 0]",wall,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_004.png,"<prediction>Position: (1, 0). Outcome: wall</prediction>"
train_seed0002_random_t005,2,train,random,Left,"[1, 0]","[1, 0]",wall,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_005.png,"<prediction>Position: (1, 0). Outcome: wall</prediction>"
train_seed0002_random_t006,2,train,random,Left,"[1, 0]","[1, 0]",wall,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_006.png,"<prediction>Position: (1, 0). Outcome: wall</prediction>"
train_seed0002_random_t007,2,train,random,Up,"[1, 0]","[0, 0]",safe,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_007.png,"<prediction>Position: (0, 0). Outcome: safe</prediction>"
train_seed0002_random_t008,2,train,random,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_008.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0002_random_t009,2,train,random,Down,"[0, 1]","[1, 1]",safe,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_009.png,"<prediction>Position: (1, 1). Outcome: safe</prediction>"
train_seed0002_random_t010,2,train,random,Left,"[1, 1]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_010.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0002_random_t011,2,train,random,Left,"[1, 0]","[1, 0]",wall,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_011.png,"<prediction>Position: (1, 0). Outcome: wall</prediction>"
train_seed0002_random_t012,2,train,random,Right,"[1, 0]","[1, 1]",safe,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_012.png,"<prediction>Position: (1, 1). Outcome: safe</prediction>"
train_seed0002_random_t013,2,train,random,Right,"[1, 1]","[1, 2]",safe,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_013.png,"<prediction>Position: (1, 2). Outcome: safe</prediction>"
train_seed0002_random_t014,2,train,random,Left,"[1, 2]","[1, 1]",safe,results/A3_dataset_collection/images/train/seed_0002/random/ep_000_step_014.png,"<prediction>Position: (1, 1). Outcome: safe</prediction>"
train_seed0003_greedy_t000,3,train,greedy,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_000.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0003_greedy_t001,3,train,greedy,Right,"[0, 1]","[0, 2]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_001.png,"<prediction>Position: (0, 2). Outcome: safe</prediction>"
train_seed0003_greedy_t002,3,train,greedy,Right,"[0, 2]","[0, 3]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_002.png,"<prediction>Position: (0, 3). Outcome: safe</prediction>"
train_seed0003_greedy_t003,3,train,greedy,Down,"[0, 3]","[1, 3]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_003.png,"<prediction>Position: (1, 3). Outcome: safe</prediction>"
train_seed0003_greedy_t004,3,train,greedy,Right,"[1, 3]","[1, 4]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_004.png,"<prediction>Position: (1, 4). Outcome: safe</prediction>"
train_seed0003_greedy_t005,3,train,greedy,Right,"[1, 4]","[1, 5]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_005.png,"<prediction>Position: (1, 5). Outcome: safe</prediction>"
train_seed0003_greedy_t006,3,train,greedy,Right,"[1, 5]","[1, 6]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_006.png,"<prediction>Position: (1, 6). Outcome: safe</prediction>"
train_seed0003_greedy_t007,3,train,greedy,Right,"[1, 6]","[1, 7]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_007.png,"<prediction>Position: (1, 7). Outcome: safe</prediction>"
train_seed0003_greedy_t008,3,train,greedy,Down,"[1, 7]","[2, 7]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_008.png,"<prediction>Position: (2, 7). Outcome: safe</prediction>"
train_seed0003_greedy_t009,3,train,greedy,Left,"[2, 7]","[2, 6]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_009.png,"<prediction>Position: (2, 6). Outcome: safe</prediction>"
train_seed0003_greedy_t010,3,train,greedy,Right,"[2, 6]","[2, 7]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_010.png,"<prediction>Position: (2, 7). Outcome: safe</prediction>"
train_seed0003_greedy_t011,3,train,greedy,Left,"[2, 7]","[2, 6]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_011.png,"<prediction>Position: (2, 6). Outcome: safe</prediction>"
train_seed0003_greedy_t012,3,train,greedy,Right,"[2, 6]","[2, 7]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_012.png,"<prediction>Position: (2, 7). Outcome: safe</prediction>"
train_seed0003_greedy_t013,3,train,greedy,Left,"[2, 7]","[2, 6]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_013.png,"<prediction>Position: (2, 6). Outcome: safe</prediction>"
train_seed0003_greedy_t014,3,train,greedy,Right,"[2, 6]","[2, 7]",safe,results/A3_dataset_collection/images/train/seed_0003/greedy/ep_000_step_014.png,"<prediction>Position: (2, 7). Outcome: safe</prediction>"
train_seed0003_random_t000,3,train,random,Down,"[0, 0]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0003/random/ep_000_step_000.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0003_random_t001,3,train,random,Left,"[1, 0]","[1, 0]",wall,results/A3_dataset_collection/images/train/seed_0003/random/ep_000_step_001.png,"<prediction>Position: (1, 0). Outcome: wall</prediction>"
train_seed0003_random_t002,3,train,random,Right,"[1, 0]","[1, 1]",hole,results/A3_dataset_collection/images/train/seed_0003/random/ep_000_step_002.png,"<prediction>Position: (1, 1). Outcome: hole</prediction>"
train_seed0003_random_t003,3,train,random,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0003/random/ep_001_step_000.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0003_random_t004,3,train,random,Up,"[0, 1]","[0, 1]",wall,results/A3_dataset_collection/images/train/seed_0003/random/ep_001_step_001.png,"<prediction>Position: (0, 1). Outcome: wall</prediction>"
train_seed0003_random_t005,3,train,random,Down,"[0, 1]","[1, 1]",hole,results/A3_dataset_collection/images/train/seed_0003/random/ep_001_step_002.png,"<prediction>Position: (1, 1). Outcome: hole</prediction>"
train_seed0003_random_t006,3,train,random,Down,"[0, 0]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0003/random/ep_002_step_000.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0003_random_t007,3,train,random,Right,"[1, 0]","[1, 1]",hole,results/A3_dataset_collection/images/train/seed_0003/random/ep_002_step_001.png,"<prediction>Position: (1, 1). Outcome: hole</prediction>"
train_seed0003_random_t008,3,train,random,Down,"[0, 0]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0003/random/ep_003_step_000.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0003_random_t009,3,train,random,Up,"[1, 0]","[0, 0]",safe,results/A3_dataset_collection/images/train/seed_0003/random/ep_003_step_001.png,"<prediction>Position: (0, 0). Outcome: safe</prediction>"
train_seed0003_random_t010,3,train,random,Up,"[0, 0]","[0, 0]",wall,results/A3_dataset_collection/images/train/seed_0003/random/ep_003_step_002.png,"<prediction>Position: (0, 0). Outcome: wall</prediction>"
train_seed0003_random_t011,3,train,random,Down,"[0, 0]","[1, 0]",safe,results/A3_dataset_collection/images/train/seed_0003/random/ep_003_step_003.png,"<prediction>Position: (1, 0). Outcome: safe</prediction>"
train_seed0003_random_t012,3,train,random,Left,"[1, 0]","[1, 0]",wall,results/A3_dataset_collection/images/train/seed_0003/random/ep_003_step_004.png,"<prediction>Position: (1, 0). Outcome: wall</prediction>"
train_seed0003_random_t013,3,train,random,Up,"[1, 0]","[0, 0]",safe,results/A3_dataset_collection/images/train/seed_0003/random/ep_003_step_005.png,"<prediction>Position: (0, 0). Outcome: safe</prediction>"
train_seed0003_random_t014,3,train,random,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0003/random/ep_003_step_006.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0004_greedy_t000,4,train,greedy,Right,"[0, 0]","[0, 1]",safe,results/A3_dataset_collection/images/train/seed_0004/greedy/ep_000_step_000.png,"<prediction>Position: (0, 1). Outcome: safe</prediction>"
train_seed0004_greedy_t001,4,train,greedy,Right,"[0, 1]","[0, 2]",safe,results/A3_dataset_collection/images/train/seed_0004/greedy/ep_000_step_001.png,"<prediction>Position: (0, 2). Outcome: safe</prediction>"
train_seed0004_greedy_t002,4,train,greedy,Down,"[0, 2]","[1, 2]",safe,results/A3_dataset_collection/images/train/seed_0004/greedy/ep_000_step_002.png,"<prediction>Position: (1, 2). Outcome: safe</prediction>"
train_seed0004_greedy_t003,4,train,greedy,Right,"[1, 2]","[1, 3]",safe,results/A3_dataset_collection/images/train/seed_0004/greedy/ep_000_step_003.png,"<prediction>Position: (1, 3). Outcome: safe</prediction>"
train_seed0004_greedy_t004,4,train,greedy,Right,"[1, 3]","[1, 4]",safe,results/A3_dataset_collection/images/train/seed_0004/greedy/ep_000_step_004.png,"<prediction>Position: (1, 4). Outcome: safe</prediction>"
train_seed0004_greedy_t005,4,train,greedy,Right,"[1, 4]","[1, 5]",safe,results/A3_dataset_collection/images/train/seed_0004/greedy/ep_000_step_005.png,"<prediction>Position: (1, 5). Outcome: safe</prediction>"
train_seed0004_greedy_t006,4,train,greedy,Right,"[1, 5]","[1, 6]",safe,results/A3_dataset_collection/images/train/seed_0004/greedy/ep_000_step_006.png,"<prediction>Position: (1, 6). Outcome: safe</prediction>"
train_seed0004_greedy_t007,4,train,greedy,Right,"[1, 6]","[1, 7]",safe,results/A3_dataset_collection/images/train/seed_0004/greedy/ep_000_step_007.png,"<prediction>Position: (1, 7). Outcome: safe</prediction>"
train_seed0004_greedy_t008,4,train,greedy,Left,"[1, 7]","[1, 6]",safe,results/A3_dataset_collection/images/train/seed_0004/greedy/ep_000_step_008.png,"<prediction>Position: (1, 6). Outcome: safe</prediction>"
train_seed0004_greedy_t009,4,train,greedy,Right,"[1, 6]","[1, 7]",safe,results/A3_dataset_collection/images/train/seed_0004/greedy/ep_000_step_009.png,"<prediction>Position: (1, 7). Outcome: safe</prediction>"
